____________________________________________________________________________________________________________________________
|     (z,r)|         0|         1|         2|         3|         4|         5|         6|         7|         8|$|         B|
|__________|__________|__________|__________|__________|__________|__________|__________|__________|__________|$|__________|
|         0|   1,00000|         0|         0|         0|         0|         0|         0|         0|         0|$|   8,15485|
|         1|         0|   1,00000|         0|         0|         0|         0|         0|         0|         0|$|   9,91825|
|         2|         0|         0|   1,00000|         0|         0|         0|         0|         0|         0|$|  12,82562|
|         3|         0|         0|         0|   1,00000|         0|         0|         0|         0|         0|$|   9,91825|
|         4|  -0,37556|  -1,44000|  -0,48444|  -1,22667|   3,33866|  -0,49521|  -0,11249|  -0,43131|  -0,14510|$|  35,97930|
|         5|         0|         0|         0|         0|         0|   1,00000|         0|         0|         0|$|  14,58903|
|         6|         0|         0|         0|         0|         0|         0|   1,00000|         0|         0|$|  12,82562|
|         7|         0|         0|         0|         0|         0|         0|         0|   1,00000|         0|$|  14,58903|
|         8|         0|         0|         0|         0|         0|         0|         0|         0|   1,00000|$|  17,49639|
